dt,x,y,position,velocity,acceleration,jerk,heading
0.250000,0.001209,0.000000,0.007639,0.061112,0.244448,0.977791,0.000197
0.250000,0.031764,0.000083,0.038195,0.183336,0.488896,0.977791,0.005234
0.250000,0.100511,0.000844,0.106946,0.366672,0.733343,0.977791,0.017020
0.250000,0.222684,0.004284,0.229170,0.611119,0.977791,0.977791,0.039659
0.250000,0.413310,0.015605,0.420145,0.916679,1.222239,0.977791,0.080111
0.250000,0.686447,0.047071,0.695148,1.283351,1.466687,0.977791,0.152488
0.250000,1.051691,0.127584,1.069459,1.711134,1.711134,0.977791,0.290888
0.250000,1.495276,0.328818,1.558355,2.200030,1.955582,0.977791,0.588659
0.250000,1.884587,0.788494,2.169474,2.688926,1.955582,0.000000,1.166037
0.250000,1.970784,1.508873,2.902817,3.177821,1.955582,0.000000,1.671959
0.250000,1.765451,2.337231,3.758385,3.666717,1.955582,-0.000000,1.919708
0.250000,1.354978,3.219131,4.736176,4.155612,1.955582,0.000000,2.092455
0.250000,0.823518,4.181473,5.836191,4.644508,1.955582,0.000000,1.982020
0.250000,0.767682,5.362677,7.058429,5.133403,1.955582,0.000000,1.132994
0.250000,1.714246,6.284112,8.402892,5.622299,1.955582,0.000000,0.545087
0.250000,3.058642,6.837598,9.861940,6.050082,1.711134,-0.977791,0.255852
0.250000,4.593160,7.101618,11.420294,6.416754,1.466687,-0.977791,0.116988
0.250000,6.217455,7.305850,13.062678,6.722314,1.222239,-0.977791,0.122474
0.250000,7.918452,7.233706,14.773812,6.966762,0.977791,-0.977791,6.059475
0.250000,9.517444,6.514486,16.538420,7.150097,0.733343,-0.977791,5.669768
0.250000,10.636029,5.173187,18.341222,7.272321,0.488896,-0.977791,4.834066
0.250000,10.221689,3.410929,20.166941,7.333433,0.244448,-0.977791,4.389062
0.250000,10.331033,1.682408,21.997755,7.313075,-0.081434,-1.303526,5.468573
0.250000,11.978552,1.001869,23.815840,7.231604,-0.325882,-0.977791,6.196738
0.250000,13.724644,1.314742,25.605918,7.089022,-0.570329,-0.977791,0.372252
0.250000,15.243892,2.135652,27.352712,6.885328,-0.814777,-0.977791,0.684877
0.250000,15.850291,3.607765,29.040943,6.620522,-1.059225,-0.977791,1.786874
0.250000,15.108603,5.030887,30.655334,6.294603,-1.303673,-0.977791,2.169403
0.250000,14.338880,6.343355,32.180606,5.907573,-1.548120,-0.977791,1.927533
0.250000,14.105229,6.724795,33.601481,5.459431,-1.792568,-0.977791,4.357151
0.250000,13.503985,5.571340,34.905227,4.970536,-1.955582,-0.652056,4.123543
0.250000,12.785548,4.634163,36.086749,4.481640,-1.955582,-0.000000,4.008972
0.250000,12.085520,3.839174,37.146047,3.992745,-1.955582,0.000000,3.983578
0.250000,11.470867,3.131918,38.083122,3.503849,-1.955582,0.000000,4.019547
0.250000,10.972958,2.487147,38.897972,3.014954,-1.955582,0.000000,4.097606
0.250000,10.601461,1.902937,39.590598,2.526058,-1.955582,0.000000,4.199843
0.250000,10.348116,1.392189,40.161001,2.037162,-1.955582,-0.000000,4.307135
0.250000,10.190291,0.970187,40.611724,1.568625,-1.874148,0.325735,4.403159
0.250000,10.098921,0.641506,40.952953,1.161200,-1.629701,0.977791,4.479659
0.250000,10.048714,0.399685,41.199963,0.814887,-1.385253,0.977791,4.535694
0.250000,10.022321,0.233709,41.368035,0.529686,-1.140805,0.977791,4.573645
0.250000,10.009093,0.130142,41.472445,0.305596,-0.896357,0.977791,4.597020
0.250000,10.002990,0.074448,41.528472,0.142619,-0.651910,0.977791,4.609475
0.250000,10.000694,0.051643,41.551394,0.040754,-0.407462,0.977791,4.614550
0.250000,10.000199,0.046572,41.556488,0.000000,-0.163014,0.977791,4.615677
0.250000,10.000199,0.046572,41.556488,0.000000,0.000000,0.652056,4.615677
