dt,x,y,position,velocity,acceleration,jerk,heading
0.250000,0.001283,-0.375000,0.007639,0.061112,0.244448,0.977791,0.000197
0.250000,0.033727,-0.374912,0.040083,0.129777,0.274660,0.120847,0.005234
0.250000,0.106893,-0.374102,0.113254,0.292682,0.651621,1.507847,0.017020
0.250000,0.237552,-0.370421,0.243965,0.522845,0.920650,1.076116,0.039659
0.250000,0.443320,-0.358192,0.450096,0.824523,1.206712,1.144245,0.080111
0.250000,0.743409,-0.323577,0.752174,1.208316,1.535172,1.313841,0.152488
0.250000,1.159242,-0.231662,1.178045,1.703482,1.980668,1.781984,0.290888
0.250000,1.703493,0.016936,1.776385,2.393359,2.759507,3.115356,0.588659
0.250000,2.229285,0.640820,2.592282,3.263588,3.480917,2.885640,1.166037
0.250000,2.343867,1.546744,3.505424,3.652568,1.555919,-7.699991,1.671959
0.250000,2.117856,2.465434,4.451507,3.784330,0.527050,-4.115476,1.919708
0.250000,1.680101,3.406001,5.488953,4.149786,1.461822,3.739089,2.092455
0.250000,1.167255,4.331372,6.546933,4.231920,0.328538,-4.533136,1.982020
0.250000,1.107314,5.203695,7.421313,3.497521,-2.937596,-13.064536,1.132994
0.250000,1.908681,5.963456,8.525589,4.417102,3.678324,26.463678,0.545087
0.250000,3.153543,6.474804,9.871382,5.383173,3.864284,0.743840,0.255852
0.250000,4.636930,6.729181,11.376423,6.020161,2.547951,-5.265331,0.116988
0.250000,6.263268,6.933659,13.015564,6.556567,2.145623,-1.609313,0.122474
0.250000,7.835259,6.868051,14.588924,6.293438,-1.052513,-12.792543,6.059475
0.250000,9.301570,6.207854,16.197006,6.432328,0.555560,6.432293,5.669768
0.250000,10.263802,5.127671,17.643617,5.786446,-2.583527,-12.556349,4.834066
0.250000,9.866120,3.530074,19.289966,6.585395,3.195796,23.117293,4.389062
0.250000,10.058236,1.425101,21.403688,8.454888,7.477969,17.128694,5.468573
0.250000,11.946175,0.628270,23.452896,8.196831,-1.032225,-34.040777,6.196738
0.250000,13.861037,0.965425,25.397214,7.777271,-1.678242,-2.584068,0.372252
0.250000,15.481109,1.845216,27.240760,7.374187,-1.612338,0.263617,0.684877
0.250000,16.216571,3.688165,29.225040,7.937120,2.251734,15.456287,1.786874
0.250000,15.418398,5.242196,30.972064,6.988096,-3.796098,-24.191327,2.169403
0.250000,14.690270,6.474312,32.403245,5.724724,-5.053488,-5.029560,1.927533
0.250000,13.753643,6.855225,33.414367,4.044486,-6.720951,-6.669852,4.357151
0.250000,13.192141,5.779616,34.627717,4.853401,3.235659,39.826440,4.123543
0.250000,12.499559,4.876723,35.765647,4.551723,-1.206713,-17.769488,4.008972
0.250000,11.805783,4.088918,36.815391,4.198976,-1.410987,-0.817096,3.983578
0.250000,11.182329,3.371440,37.765901,3.802039,-1.587749,-0.707048,4.019547
0.250000,10.666621,2.703440,38.609808,3.375628,-1.705644,-0.471581,4.097606
0.250000,10.274648,2.086836,39.340454,2.922585,-1.812172,-0.426111,4.199843
0.250000,10.003490,1.540034,39.950797,2.441373,-1.924848,-0.450703,4.307135
0.250000,9.833078,1.084308,40.437342,1.946180,-1.980770,-0.223688,4.403159
0.250000,9.734031,0.727994,40.807167,1.479300,-1.867522,0.452994,4.479659
0.250000,9.679553,0.465601,41.075156,1.071954,-1.629383,0.952556,4.535694
0.250000,9.650925,0.285571,41.257448,0.729168,-1.371143,1.032957,4.573645
0.250000,9.636586,0.173310,41.370621,0.452694,-1.105898,1.060983,4.597020
0.250000,9.629975,0.112973,41.431319,0.242790,-0.839614,1.065136,4.609475
0.250000,9.627487,0.088274,41.456143,0.099295,-0.573980,1.062533,4.614550
0.250000,9.626951,0.082783,41.461661,0.022071,-0.308898,1.060330,4.615677
0.250000,9.626951,0.082783,41.461661,0.000000,-0.088284,0.882457,4.615677
